route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,zenbus_mission_id,trip_headsign_code
zenbus:Line:834460001:LOC,cal1-mon-tue-wed-thu-fri-3,5169184021413888:25,BOURIATTE > CHARTREUSE,,1,,zenbus:Route:5164367014264832:LOC,,,5119782183501824,trip_50
zenbus:Line:834460001:LOC,cal1-mon-tue-wed-thu-fri-3,5169184021413888:26,BOURIATTE > CHARTREUSE,,1,,zenbus:Route:5164367014264832:LOC,,,5119782183501824,trip_50
zenbus:Line:834460001:LOC,cal1-mon-tue-wed-thu-fri-3,5169184021413888:27,BOURIATTE > CASTRES GUYNEMER,,1,,zenbus:Route:5069731436429312:LOC,,,5175913027207168,trip_35
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:0,DURENQUE QUAI > HOPITAL,,1,,zenbus:Route:5171558333022208:LOC,,,6257738382311424,trip_115
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:1,DURENQUE QUAI > GARES MAZAMET,,1,,zenbus:Route:6224534527016960:LOC,,,5156024862375936,trip_139C
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:2,DURENQUE QUAI > GARES MAZAMET,,1,,zenbus:Route:6224534527016960:LOC,,,5156024862375936,trip_139C
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:3,DURENQUE QUAI > GARES MAZAMET,,1,,zenbus:Route:6224534527016960:LOC,,,5156024862375936,trip_139C
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:4,DURENQUE QUAI > GARES MAZAMET,,1,,zenbus:Route:5146789122408448:LOC,,,6218571988336640,trip_411
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:5,DURENQUE QUAI > GARES MAZAMET,,1,,zenbus:Route:5190153209380864:LOC,,,5106896476307456,trip_143
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:6,DURENQUE QUAI > GARES MAZAMET,,1,,zenbus:Route:6224534527016960:LOC,,,5156024862375936,trip_139C
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:7,DURENQUE QUAI > GARES MAZAMET,,1,,zenbus:Route:6236357313691648:LOC,,,5126772628652032,trip_145
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,6015240770682880:8,DURENQUE QUAI > GARES MAZAMET,,1,,zenbus:Route:6224534527016960:LOC,,,5156024862375936,trip_139C
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:0,PALIQUE > MAURIAC,,1,,zenbus:Route:5070978386231296:LOC,,,5120261995102208,trip_270
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:1,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5071367550533632:LOC,,,6263902197252096,trip_273
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:2,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5070978386231296:LOC,,,5120261995102208,trip_270
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:3,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5070978386231296:LOC,,,5120261995102208,trip_270
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:4,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5070978386231296:LOC,,,5120261995102208,trip_270
zenbus:Line:824770001:LOC,cal1-mon-tue-wed-thu-fri-3,5192171625906176:5,PALIQUE > CHARTREUSE,,1,,zenbus:Route:5071367550533632:LOC,,,6263902197252096,trip_273
